UCUM_symbol,label_en,exact_synonym_pluralize_en,exact_synonym_non_pluralize_en,pluralize_label_en,Equivalent_UCUM_Code,definition_en,definition_source,SI_symbol,label_fr,definition_fr,label_zh,definition_zh,comment_en,SI_category,Notes
gon,gon,,gon (grade),,,,,,,,,,,,
Ky,Kayser,,,,cm-1,,,,,,,,,,
Lmb,Lambert,,,,,,,,,,,,,,
m[H2O],meter of water column,,metre of water column,FALSE,,,,,,,,,,,
m[Hg],meter of mercury column,,metre of mercury column,FALSE,,,,,,,,,,,
mho,mho,,,,,,,,,,,,,,
mo,month,,,,,,,,,,,,,,
mo_g,mean Gregorian month,,,,,,,,,,,,,,
mo_j,mean Julian month,,,,,,,,,,,,,,
mo_s,synodal month,,,,,,,,,,,,,,
Mx,Maxwell,,,,,,,,,,,,,,
Oe,Oersted,,,,,,,,,,,,,,
osm,osmole,,,,,,,,,,,,,,
pc,parsec,,,,,,,,,,,,,,
ph,phot,,,,,,,,,,,,,,
P,poise,,,,,,,,,,,,,,
RAD,radiation absorbed dose,,,FALSE,,,,,,,,,,,
REM,radiation equivalent man,Roentgen Equivalent in Man|dose equivalents,,FALSE,,,,,,,,,,,
R,roentgen,röntgen,,,,,,,,,,,,,
sb,stilb,,,,,,,,,,,,,,
sph,solid angle spere,,spere - solid angle,,,,,,,,,,,,
St,Stokes,,,,,,,,,,,,,,
st,stere,stère,,,m3,,,,,,,,,,
tex,tex,,texes,FALSE,,,,,,,,,,,
U,enzyme unit,,,,umol.min-1,,,,,,,,,,
wk,week,,,,,,,,,,,,,,
